Last Read Date,Billing Days,Electric Usage (kWh),Read Method,Actual Demand (kW),Billed Demand (kW),Electric Charges,Total Electric Charges,Total Charges / Day,Average Temperature,Cooling Degree Days,Heating Degree Days
04/19/2018,29,418,Actual,0,0,$ 52.53,$ 52.80,$ 1.82,47 ° F,0,525
03/21/2018,29,392,Actual,0,0,$ 49.11,$ 49.36,$ 1.70,39 ° F,0,741
02/20/2018,32,468,Actual,0,0,$ 57.56,$ 57.85,$ 1.81,35 ° F,0,957
01/19/2018,32,481,Actual,0,0,$ 59.75,$ 60.05,$ 1.88,34 ° F,0,995
12/18/2017,32,494,Actual,0,0,$ 62.34,$ 62.65,$ 1.96,45 ° F,0,648
11/16/2017,29,340,Actual,0,0,$ 44.60,$ 44.83,$ 1.55,47 ° F,0,518
10/18/2017,30,324,Actual,0,0,$ 42.14,$ 42.35,$ 1.41,54 ° F,7,344
09/18/2017,32,376,Actual,0,0,$ 46.87,$ 47.11,$ 1.47,72 ° F,227,18
08/17/2017,29,323,Actual,0,0,$ 40.94,$ 41.15,$ 1.42,71 ° F,194,13
07/19/2017,30,331,Actual,0,0,$ 42.14,$ 42.35,$ 1.41,73 ° F,267,20
06/19/2017,32,304,Actual,0,0,$ 39.87,$ 40.07,$ 1.25,63 ° F,94,142
05/18/2017,29,311,Actual,0,0,$ 40.68,$ 40.89,$ 1.41,52 ° F,5,366
04/19/2017,29,303,Actual,0,0,$ 39.88,$ 40.08,$ 1.38,50 ° F,0,427
03/21/2017,32,330,Actual,0,0,$ 43.14,$ 43.36,$ 1.36,46 ° F,0,593
02/17/2017,29,314,Actual,0,0,$ 41.30,$ 41.51,$ 1.43,42 ° F,3,682
01/19/2017,34,470,Actual,0,0,$ 54.92,$ 55.19,$ 1.62,32 ° F,0,1113
12/16/2016,31,336,Actual,0,0,$ 43.40,$ 43.62,$ 1.41,35 ° F,0,917
11/15/2016,29,271,Actual,0,0,$ 36.93,$ 37.12,$ 1.28,57 ° F,8,253
10/17/2016,31,260,Actual,0,0,$ 35.39,$ 35.57,$ 1.15,61 ° F,39,155
09/16/2016,28,166,Actual,0,0,$ 23.64,$ 23.76,$ 0.85,67 ° F,104,44
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
